R,G,B
156.0287645,154.8240145,143.9726204
126.5229999,120.5900382,112.1136034
107.3227012,170.9175254,162.2079859
145.7315127,140.0651015,141.4531048
104.2757401,102.6172446,98.22153821
0,0,0
133.5581991,134.4404896,128.1793716
96.98257214,105.0863292,64.87075068
105.2596662,117.8065132,77.13997067
135.4067724,137.0100003,131.052975
116.7967704,118.4294627,110.1319907
111.438343,127.8031475,123.2590662
165.3862601,172.8547472,153.6845642
79.91977986,67.738183,58.39966053
111.2783148,120.4208977,109.6143801
117.9664814,96.91796208,79.16722671
101.8271674,88.7065061,73.13659234
117.7042961,111.9042114,106.7256295
147.8091277,141.7307993,139.9364001
140.9882472,149.0181611,156.0561217
122.3813582,135.8058969,149.1105574
89.20126763,93.83256747,98.35720699
138.9568157,149.1699122,157.9488503
140.8782547,156.7540429,173.6250146
112.1288732,112.3033072,94.52801379
109.0841293,121.7792662,126.4526791
82.86422438,84.82481242,81.35318781
123.3484462,128.2035446,130.759279
101.6375613,110.9472603,71.60511585
144.1632806,146.5590933,148.4125112
161.1262133,163.7590734,167.2108246
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
104.4152941,109.9497681,108.1379977
167.1971372,175.4501077,175.941725
93.88329361,96.38955617,93.13113988
115.4559379,133.1121018,135.8408873
152.5144622,149.5380345,141.9028152
156.0287645,154.8240145,143.9726204
126.5229999,120.5900382,112.1136034
107.3227012,170.9175254,162.2079859
145.7315127,140.0651015,141.4531048
104.2757401,102.6172446,98.22153821
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
100.5592066,98.68048835,91.89001737
0,0,0
136.7137386,138.8467705,132.7541199
127.74559,130.0022307,108.5131881
115.207994,102.6162293,92.49915535
116.401797,96.69281436,68.51258833
91.64143437,117.6054823,71.86307456
142.2780346,142.4604478,126.376998
121.1417915,138.5309952,135.0623518
139.9485843,157.8448956,127.2146584
101.9594291,102.441475,91.51473058
123.3043027,122.0012711,112.6559753
111.8417624,121.4490457,85.48648384
155.774395,158.7199875,152.8819173
121.0443028,117.5283375,96.43711941
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
109.4815652,121.6182669,74.95291328
98.72842044,107.2553166,78.95227629
95.6912627,98.05244691,78.15204294
76.38877269,77.09911612,71.33546994
123.3025419,113.9137965,111.0226198
81.8659212,106.4408768,114.9399972
133.6333514,144.5935282,114.6106606
113.126318,107.5978458,93.82052154
113.2675169,133.1887076,157.3362875
152.0678485,111.5330519,49.89570724
126.1174044,133.0795987,118.0979845
106.7275552,110.4041619,100.4221978
122.7705616,130.6469837,108.310154
150.8652487,154.5552049,143.6668349
142.8080983,153.6056067,165.108959
100.8319086,128.9755465,146.8803485
133.7799257,147.2084939,98.90181902
117.4836034,121.7133901,122.4116628
116.4053134,119.559448,96.09839242
124.4716242,131.303017,140.7026233
86.70695095,87.93081015,77.30994701
174.2725723,174.8304013,172.8888126
134.7508122,138.6190121,142.8481736
131.1057316,127.0935924,103.6195157
96.503097,109.7953695,84.40626616
100.0004431,121.2034026,97.28303656
138.2228963,133.3014113,110.1783812
124.456677,124.5141892,75.25877178
94.53997446,103.2601186,65.82401734
83.11575943,76.78109267,59.78240118
110.0886649,110.0786852,96.0004775
83.11937642,86.86395623,58.81565246
82.20422179,83.15282487,78.17493672
84.84533313,88.72678894,83.18676583
101.2780799,100.6554269,78.08673656
85.62416836,86.79346809,75.57312099
78.58273446,90.31508569,81.87043373
138.2228963,133.3014113,110.1783812
124.456677,124.5141892,75.25877178
94.53997446,103.2601186,65.82401734
83.11937642,86.86395623,58.81565246
110.0886649,110.0786852,96.0004775
82.20422179,83.15282487,78.17493672
84.84533313,88.72678894,83.18676583
